Riding No.,Riding Name,Political Affiliation,Last Name,First Name,Middle Name
24013,Chambly,Canadian Alliance,Paquette,Gaétan
24013,Chambly,Progressive Conservative,Parenteau,Jacques
24014,Champlain,Liberal,Boulet,Julie
24014,Champlain,Bloc Québécois,Gagnon,Marcel
24014,Champlain,Marijuana Party,Giroux,Paul
24014,Champlain,Canadian Alliance,Labranche,Eric
24014,Champlain,N.D.P.,Toone,Philippe
24015,Charlesbourg--Jacques-Cartier,N.D.P.,Dicaire,Françoise
24015,Charlesbourg--Jacques-Cartier,Canadian Alliance,Latulippe,Gérard
24015,Charlesbourg--Jacques-Cartier,Bloc Québécois,Marceau,Richard
24015,Charlesbourg--Jacques-Cartier,Green Party,Moisan-Domm,Samuel
24015,Charlesbourg--Jacques-Cartier,Progressive Conservative,Murray,Dann
24015,Charlesbourg--Jacques-Cartier,Liberal,Thivierge,Isabelle
24016,Charlevoix,Bloc Québécois,Asselin,Gérard
24016,Charlevoix,N.D.P.,Duhaime,Joss
24016,Charlevoix,Liberal,Gagnon,Marjolaine
24016,Charlevoix,Progressive Conservative,Grondin,Doris
24016,Charlevoix,Canadian Alliance,Paradis,Pierre
24017,Châteauguay,Bloc Québécois,Lanctôt,Robert
24017,Châteauguay,Natural Law Party,Larrass,Margaret
24017,Châteauguay,N.D.P.,Lindblad,Robert
24017,Châteauguay,Canadian Alliance,Lopez,Ricardo
24017,Châteauguay,Liberal,Marcil,Carole
24017,Châteauguay,Progressive Conservative,Rioux,Réjeanne
24018,Chicoutimi--Le Fjord,Independent,Desbiens,Mauril
24018,Chicoutimi--Le Fjord,Liberal,Harvey,André
24018,Chicoutimi--Le Fjord,N.D.P.,Ranger,Alain
24018,Chicoutimi--Le Fjord,Canadian Alliance,Schroeder-Tabah,Douglas
24018,Chicoutimi--Le Fjord,Bloc Québécois,Tremblay,Noel
24019,Compton--Stanstead,Canadian Alliance,Carrier,Marc
24019,Compton--Stanstead,Progressive Conservative,Dewey-Plante,Mary Ann
24019,Compton--Stanstead,Bloc Québécois,Leroux,Gaston
24019,Compton--Stanstead,N.D.P.,Moore,Christine
24019,Compton--Stanstead,Liberal,Price,David
24019,Compton--Stanstead,Natural Law Party,Roy,Marc
24020,Drummond,Progressive Conservative,Boisvert,Lyne
24020,Drummond,Liberal,Béliveau,André
24020,Drummond,Canadian Alliance,Laurin,Jacques
24020,Drummond,N.D.P.,Philion,Julie
24020,Drummond,Bloc Québécois,Picard,Pauline
24021,Frontenac--Mégantic,Liberal,Binet,Gérard,
24021,Frontenac--Mégantic,N.D.P.,Chalifoux,Olivier,
24021,Frontenac--Mégantic,Bloc Québécois,Chrétien,Jean-Guy,
24021,Frontenac--Mégantic,Marijuana Party,Fournier,Pierre,Luc
24021,Frontenac--Mégantic,Progressive Conservative,Massicotte,Nicole,
24021,Frontenac--Mégantic,Canadian Alliance,Musial,Stéphane,
